timestamp,level,flow_run_id,task_run_id,message
2026-05-30 07:09:52.834486+00:00,20,446949d4-298b-43d7-a527-2fb539c08f87,,Downloading flow code from storage at '.'
2026-05-30 07:09:53.113660+00:00,20,446949d4-298b-43d7-a527-2fb539c08f87,,Beginning flow run 'unbeatable-quetzal' for flow 'aam-backup'
2026-05-30 07:09:53.125435+00:00,20,446949d4-298b-43d7-a527-2fb539c08f87,,"AAM Backup starting — mode=lan, firm=AAM"
2026-05-30 07:09:53.167390+00:00,30,446949d4-298b-43d7-a527-2fb539c08f87,,Concurrency limits ['aam-backup'] do not exist - skipping acquisition.
2026-05-30 07:09:53.169436+00:00,20,446949d4-298b-43d7-a527-2fb539c08f87,,Starting LAN backup pipeline
2026-05-30 07:09:53.205877+00:00,20,446949d4-298b-43d7-a527-2fb539c08f87,,Running health checks (mode=lan)
2026-05-30 07:09:53.209119+00:00,20,446949d4-298b-43d7-a527-2fb539c08f87,,Pre-backup health check passed (mode=lan)
2026-05-30 07:09:53.212936+00:00,20,446949d4-298b-43d7-a527-2fb539c08f87,019e77b7-c6b1-76ff-94db-89521b88de44,Finished in state Completed()
2026-05-30 07:09:53.219333+00:00,20,446949d4-298b-43d7-a527-2fb539c08f87,,Waking backup server 10.10.186.231
2026-05-30 07:09:58.220978+00:00,20,446949d4-298b-43d7-a527-2fb539c08f87,,"Backup server 10.10.186.231 offline, sending WoL"
2026-05-30 07:09:58.223193+00:00,20,446949d4-298b-43d7-a527-2fb539c08f87,,WoL magic packet sent to 6C-4B-90-25-70-5F
2026-05-30 07:10:18.228516+00:00,20,446949d4-298b-43d7-a527-2fb539c08f87,,Backup server 10.10.186.231 SMB accessible after WoL
2026-05-30 07:10:48.236595+00:00,20,446949d4-298b-43d7-a527-2fb539c08f87,019e77b7-c6be-7e5c-8480-abbfe3ffc6ef,Finished in state Completed()
2026-05-30 07:10:48.241550+00:00,20,446949d4-298b-43d7-a527-2fb539c08f87,,LAN preflight: validating E:\test_backup → \\10.10.186.231\lan_backup
2026-05-30 07:10:48.243297+00:00,20,446949d4-298b-43d7-a527-2fb539c08f87,,LAN dry-run: validating E:\test_backup → \\10.10.186.231\lan_backup
2026-05-30 07:10:48.270210+00:00,20,446949d4-298b-43d7-a527-2fb539c08f87,,LAN dry-run passed (exit 0)
2026-05-30 07:10:48.274002+00:00,20,446949d4-298b-43d7-a527-2fb539c08f87,019e77b8-9dae-7284-9272-80f27cd979d2,Finished in state Completed()
2026-05-30 07:10:48.282021+00:00,20,446949d4-298b-43d7-a527-2fb539c08f87,,Taking LAN snapshot (before sync)
2026-05-30 07:10:48.290004+00:00,20,446949d4-298b-43d7-a527-2fb539c08f87,,LAN manifest: 8 files at \\10.10.186.231\lan_backup
2026-05-30 07:10:48.291771+00:00,20,446949d4-298b-43d7-a527-2fb539c08f87,,LAN snapshot: 8 files before sync
2026-05-30 07:10:48.296922+00:00,20,446949d4-298b-43d7-a527-2fb539c08f87,019e77b8-9dd4-72b1-aa0d-3e3cbaedc670,Finished in state Completed()
2026-05-30 07:10:48.304841+00:00,20,446949d4-298b-43d7-a527-2fb539c08f87,,LAN sync: E:\test_backup → \\10.10.186.231\lan_backup
2026-05-30 07:10:48.307788+00:00,20,446949d4-298b-43d7-a527-2fb539c08f87,,LAN sync: robocopy E:\test_backup \\10.10.186.231\lan_backup /MIR... (log: C:\Users\ADMINI~1\AppData\Local\Temp\robocopy_sync_lugtk_gx.log)
2026-05-30 07:10:48.326074+00:00,20,446949d4-298b-43d7-a527-2fb539c08f87,,LAN sync exit 0 → LAN_COMPLETE
2026-05-30 07:10:48.332319+00:00,20,446949d4-298b-43d7-a527-2fb539c08f87,019e77b8-9deb-7f54-bf4b-910011220d7e,Finished in state Completed()
2026-05-30 07:10:48.339109+00:00,20,446949d4-298b-43d7-a527-2fb539c08f87,,Taking LAN snapshot (after sync)
2026-05-30 07:10:48.347277+00:00,20,446949d4-298b-43d7-a527-2fb539c08f87,,LAN manifest: 8 files at \\10.10.186.231\lan_backup
2026-05-30 07:10:48.349412+00:00,20,446949d4-298b-43d7-a527-2fb539c08f87,,LAN snapshot: 8 files after sync
2026-05-30 07:10:48.354375+00:00,20,446949d4-298b-43d7-a527-2fb539c08f87,019e77b8-9e0e-7817-9f3d-96ece9b0f972,Finished in state Completed()
2026-05-30 07:10:48.433115+00:00,20,446949d4-298b-43d7-a527-2fb539c08f87,,"LAN recorded: 8 files, +0 -0 *0 changed"
2026-05-30 07:10:48.467145+00:00,20,446949d4-298b-43d7-a527-2fb539c08f87,019e77b8-9e24-74a0-9a7b-2f71a4fcd4aa,Finished in state Completed()
2026-05-30 07:10:48.468621+00:00,20,446949d4-298b-43d7-a527-2fb539c08f87,,LAN pipeline completed successfully
2026-05-30 07:10:48.535035+00:00,20,446949d4-298b-43d7-a527-2fb539c08f87,,Shutting down backup server 10.10.186.231
2026-05-30 07:10:48.551618+00:00,20,446949d4-298b-43d7-a527-2fb539c08f87,,Shutdown initiated for 10.10.186.231 (5-minute delay)
2026-05-30 07:10:48.555879+00:00,20,446949d4-298b-43d7-a527-2fb539c08f87,019e77b8-9ed3-7e4b-9bf7-b1510e29e700,Finished in state Completed()
2026-05-30 07:10:48.675413+00:00,20,446949d4-298b-43d7-a527-2fb539c08f87,,AAM Backup completed successfully
2026-05-30 07:10:49.307855+00:00,20,446949d4-298b-43d7-a527-2fb539c08f87,,Finished in state Completed()
